Nome: Antônio Prado, EstadoID: 21, CodigoIBGE: 4300802
Nome: Antônio Prado de Minas, EstadoID: 13, CodigoIBGE: 3103108
Nome: Aparecida, EstadoID: 15, CodigoIBGE: 2500775
Nome: Aparecida, EstadoID: 25, CodigoIBGE: 3502507
Nome: Aparecida d'Oeste, EstadoID: 25, CodigoIBGE: 3502606
Nome: Aparecida de Goiânia, EstadoID: 9, CodigoIBGE: 5201405
Nome: Aparecida do Rio Doce, EstadoID: 9, CodigoIBGE: 5201454
Nome: Aparecida do Rio Negro, EstadoID: 27, CodigoIBGE: 1701101
Nome: Aparecida do Taboado, EstadoID: 12, CodigoIBGE: 5001003
Nome: Aperibé, EstadoID: 19, CodigoIBGE: 3300159
Nome: Apiacá, EstadoID: 8, CodigoIBGE: 3200508
Nome: Apiacás, EstadoID: 11, CodigoIBGE: 5100805
Nome: Apiaí, EstadoID: 25, CodigoIBGE: 3502705
Nome: Apicum-Açu, EstadoID: 10, CodigoIBGE: 2100832
Nome: Apiúna, EstadoID: 24, CodigoIBGE: 4201257
Nome: Apodi, EstadoID: 20, CodigoIBGE: 2401008
Nome: Aporá, EstadoID: 5, CodigoIBGE: 2901908
Nome: Aporé, EstadoID: 9, CodigoIBGE: 5201504
Nome: Apuarema, EstadoID: 5, CodigoIBGE: 2901957
Nome: Apucarana, EstadoID: 16, CodigoIBGE: 4101408
Nome: Apuí, EstadoID: 4, CodigoIBGE: 1300144
Nome: Apuiarés, EstadoID: 6, CodigoIBGE: 2300903
Nome: Aquidabã, EstadoID: 26, CodigoIBGE: 2800209
Nome: Aquidauana, EstadoID: 12, CodigoIBGE: 5001102
Nome: Aquiraz, EstadoID: 6, CodigoIBGE: 2301000
Nome: Arabutã, EstadoID: 24, CodigoIBGE: 4201273
Nome: Araçagi, EstadoID: 15, CodigoIBGE: 2500809
Nome: Araçaí, EstadoID: 13, CodigoIBGE: 3103207
Nome: Aracaju, EstadoID: 26, CodigoIBGE: 2800308
Nome: Araçariguama, EstadoID: 25, CodigoIBGE: 3502754
Nome: Araçás, EstadoID: 5, CodigoIBGE: 2902054
Nome: Aracati, EstadoID: 6, CodigoIBGE: 2301109
Nome: Aracatu, EstadoID: 5, CodigoIBGE: 2902005
Nome: Araçatuba, EstadoID: 25, CodigoIBGE: 3502804
Nome: Araci, EstadoID: 5, CodigoIBGE: 2902104
Nome: Aracitaba, EstadoID: 13, CodigoIBGE: 3103306
Nome: Aracoiaba, EstadoID: 6, CodigoIBGE: 2301208
Nome: Araçoiaba, EstadoID: 17, CodigoIBGE: 2601052
Nome: Araçoiaba da Serra, EstadoID: 25, CodigoIBGE: 3502903
Nome: Aracruz, EstadoID: 8, CodigoIBGE: 3200607
Nome: Araçu, EstadoID: 9, CodigoIBGE: 5201603
Nome: Araçuaí, EstadoID: 13, CodigoIBGE: 3103405
Nome: Aragarças, EstadoID: 9, CodigoIBGE: 5201702
Nome: Aragoiânia, EstadoID: 9, CodigoIBGE: 5201801
Nome: Aragominas, EstadoID: 27, CodigoIBGE: 1701309
Nome: Araguacema, EstadoID: 27, CodigoIBGE: 1701903
Nome: Araguaçu, EstadoID: 27, CodigoIBGE: 1702000
Nome: Araguaiana, EstadoID: 11, CodigoIBGE: 5101001
Nome: Araguaína, EstadoID: 27, CodigoIBGE: 1702109
Nome: Araguainha, EstadoID: 11, CodigoIBGE: 5101209
Nome: Araguanã, EstadoID: 27, CodigoIBGE: 1702158
Nome: Araguanã, EstadoID: 10, CodigoIBGE: 2100873
Nome: Araguapaz, EstadoID: 9, CodigoIBGE: 5202155
Nome: Araguari, EstadoID: 13, CodigoIBGE: 3103504
Nome: Araguatins, EstadoID: 27, CodigoIBGE: 1702208
Nome: Araioses, EstadoID: 10, CodigoIBGE: 2100907
Nome: Aral Moreira, EstadoID: 12, CodigoIBGE: 5001243
Nome: Aramari, EstadoID: 5, CodigoIBGE: 2902203
Nome: Arambaré, EstadoID: 21, CodigoIBGE: 4300851
Nome: Arame, EstadoID: 10, CodigoIBGE: 2100956
Nome: Aramina, EstadoID: 25, CodigoIBGE: 3503000
Nome: Arandu, EstadoID: 25, CodigoIBGE: 3503109
Nome: Arantina, EstadoID: 13, CodigoIBGE: 3103603
Nome: Arapeí, EstadoID: 25, CodigoIBGE: 3503158
Nome: Arapiraca, EstadoID: 2, CodigoIBGE: 2700300
Nome: Arapoema, EstadoID: 27, CodigoIBGE: 1702307
Nome: Araponga, EstadoID: 13, CodigoIBGE: 3103702
Nome: Arapongas, EstadoID: 16, CodigoIBGE: 4101507
Nome: Araporã, EstadoID: 13, CodigoIBGE: 3103751
Nome: Arapoti, EstadoID: 16, CodigoIBGE: 4101606
Nome: Arapuá, EstadoID: 13, CodigoIBGE: 3103801
Nome: Arapuã, EstadoID: 16, CodigoIBGE: 4101655
Nome: Araputanga, EstadoID: 11, CodigoIBGE: 5101258
Nome: Araquari, EstadoID: 24, CodigoIBGE: 4201307
Nome: Arara, EstadoID: 15, CodigoIBGE: 2500908
Nome: Araranguá, EstadoID: 24, CodigoIBGE: 4201406
Nome: Araraquara, EstadoID: 25, CodigoIBGE: 3503208
Nome: Araras, EstadoID: 25, CodigoIBGE: 3503307
Nome: Ararendá, EstadoID: 6, CodigoIBGE: 2301257
Nome: Arari, EstadoID: 10, CodigoIBGE: 2101004
Nome: Araricá, EstadoID: 21, CodigoIBGE: 4300877
Nome: Araripe, EstadoID: 6, CodigoIBGE: 2301307
Nome: Araripina, EstadoID: 17, CodigoIBGE: 2601102
